timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T16:10:02.326435,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T16:10:02.326488,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T16:10:02.471169,,,,127.0.0.1,127.0.0.1,48738,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.471179,,,,127.0.0.1,127.0.0.1,5037,48738,0x00000014,,,,,,,
2026-02-10T16:10:02.472382,,,,127.0.0.1,127.0.0.1,48740,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.472389,,,,127.0.0.1,127.0.0.1,5037,48740,0x00000014,,,,,,,
2026-02-10T16:10:02.474781,,,,127.0.0.1,127.0.0.1,48742,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.474794,,,,127.0.0.1,127.0.0.1,5037,48742,0x00000014,,,,,,,
2026-02-10T16:10:02.475975,,,,127.0.0.1,127.0.0.1,48744,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.475979,,,,127.0.0.1,127.0.0.1,5037,48744,0x00000014,,,,,,,
2026-02-10T16:10:02.477506,,,,127.0.0.1,127.0.0.1,48746,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.477514,,,,127.0.0.1,127.0.0.1,5037,48746,0x00000014,,,,,,,
2026-02-10T16:10:02.478675,,,,127.0.0.1,127.0.0.1,48748,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.478680,,,,127.0.0.1,127.0.0.1,5037,48748,0x00000014,,,,,,,
2026-02-10T16:10:02.480442,,,,127.0.0.1,127.0.0.1,48750,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.480450,,,,127.0.0.1,127.0.0.1,5037,48750,0x00000014,,,,,,,
2026-02-10T16:10:02.482115,,,,127.0.0.1,127.0.0.1,48752,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.482127,,,,127.0.0.1,127.0.0.1,5037,48752,0x00000014,,,,,,,
2026-02-10T16:10:02.483285,,,,127.0.0.1,127.0.0.1,48754,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.483290,,,,127.0.0.1,127.0.0.1,5037,48754,0x00000014,,,,,,,
2026-02-10T16:10:02.484510,,,,127.0.0.1,127.0.0.1,48756,5037,0x00000002,,,,,,,
2026-02-10T16:10:02.484521,,,,127.0.0.1,127.0.0.1,5037,48756,0x00000014,,,,,,,
2026-02-10T16:10:03.202099,,,,192.168.0.167,192.168.0.1,,,,34386,53,,,,,
2026-02-10T16:10:03.224576,,,,192.168.0.1,192.168.0.167,,,,53,34386,,,,,
2026-02-10T16:10:06.902874,,,,,,,,,,,,,,,
