timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T03:20:02.250410,,,,127.0.0.1,127.0.0.1,56172,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.250420,,,,127.0.0.1,127.0.0.1,5037,56172,0x00000014,,,,,,,
2026-02-10T03:20:02.252054,,,,127.0.0.1,127.0.0.1,56174,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.252069,,,,127.0.0.1,127.0.0.1,5037,56174,0x00000014,,,,,,,
2026-02-10T03:20:02.253232,,,,127.0.0.1,127.0.0.1,56176,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.253237,,,,127.0.0.1,127.0.0.1,5037,56176,0x00000014,,,,,,,
2026-02-10T03:20:02.254326,,,,127.0.0.1,127.0.0.1,56178,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.254383,,,,127.0.0.1,127.0.0.1,5037,56178,0x00000014,,,,,,,
2026-02-10T03:20:02.255697,,,,127.0.0.1,127.0.0.1,56180,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.255815,,,,127.0.0.1,127.0.0.1,5037,56180,0x00000014,,,,,,,
2026-02-10T03:20:02.257084,,,,127.0.0.1,127.0.0.1,56182,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.257092,,,,127.0.0.1,127.0.0.1,5037,56182,0x00000014,,,,,,,
2026-02-10T03:20:02.258207,,,,127.0.0.1,127.0.0.1,56184,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.258264,,,,127.0.0.1,127.0.0.1,5037,56184,0x00000014,,,,,,,
2026-02-10T03:20:02.259599,,,,127.0.0.1,127.0.0.1,56186,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.259608,,,,127.0.0.1,127.0.0.1,5037,56186,0x00000014,,,,,,,
2026-02-10T03:20:02.260878,,,,127.0.0.1,127.0.0.1,56188,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.260929,,,,127.0.0.1,127.0.0.1,5037,56188,0x00000014,,,,,,,
2026-02-10T03:20:02.262233,,,,127.0.0.1,127.0.0.1,56190,5037,0x00000002,,,,,,,
2026-02-10T03:20:02.262248,,,,127.0.0.1,127.0.0.1,5037,56190,0x00000014,,,,,,,
2026-02-10T03:20:02.895571,,,,192.168.0.167,192.168.0.1,,,,41133,53,,,,,
2026-02-10T03:20:02.910470,,,,192.168.0.1,192.168.0.167,,,,53,41133,,,,,
2026-02-10T03:20:02.961701,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:20:02.966390,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:20:03.000396,,,,192.168.0.167,192.168.0.1,,,,60840,53,,,,,
2026-02-10T03:20:03.014954,,,,192.168.0.1,192.168.0.167,,,,53,60840,,,,,
2026-02-10T03:20:03.109766,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:20:03.109892,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:20:04.578368,,,,192.168.0.167,192.178.56.229,41338,443,0x00000010,,,,,,,
2026-02-10T03:20:04.592341,,,,192.178.56.229,192.168.0.167,443,41338,0x00000010,,,,,,,
2026-02-10T03:20:06.626136,,,,,,,,,,,,,,,
2026-02-10T03:20:06.629997,,,,,,,,,,,,,,,
2026-02-10T03:20:06.685474,,,,,,,,,,,,,,,
2026-02-10T03:20:06.685493,,,,,,,,,,,,,,,
2026-02-10T03:20:13.422233,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:20:13.422401,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:20:17.696245,,,,,,,,,,,,,,,
2026-02-10T03:20:17.696264,,,,,,,,,,,,,,,
2026-02-10T03:20:17.962688,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:20:17.980124,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:20:23.487927,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:20:23.493911,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:20:23.537207,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:20:23.537372,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:20:28.706647,,,,,,,,,,,,,,,
2026-02-10T03:20:33.567546,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:20:33.567673,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:20:38.489587,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:20:38.507207,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:20:39.716601,,,,,,,,,,,,,,,
2026-02-10T03:20:43.512019,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:20:43.516686,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:20:43.646496,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:20:43.646590,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:20:49.634085,,,,192.168.0.167,192.178.56.229,41338,443,0x00000010,,,,,,,
2026-02-10T03:20:49.647052,,,,192.178.56.229,192.168.0.167,443,41338,0x00000010,,,,,,,
2026-02-10T03:20:50.156276,,,,192.168.0.122,255.255.255.255,,,,39190,7989,,,,,
2026-02-10T03:20:50.726567,,,,,,,,,,,,,,,
2026-02-10T03:20:53.672408,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:20:53.672496,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:20:54.754339,,,,,,,,,,,,,,,
2026-02-10T03:20:54.758884,,,,,,,,,,,,,,,
2026-02-10T03:20:58.513890,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:20:58.532463,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:20:59.136015,,,,192.168.0.167,192.168.0.1,,,,59765,53,,,,,
2026-02-10T03:20:59.136767,,,,192.168.0.167,192.168.0.1,,,,56718,53,,,,,
2026-02-10T03:20:59.140708,,,,192.168.0.1,192.168.0.167,,,,53,59765,,,,,
2026-02-10T03:20:59.140708,,,,192.168.0.1,192.168.0.167,,,,53,56718,,,,,
2026-02-10T03:20:59.141505,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.142200,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.142785,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.182097,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.182849,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.187213,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.187213,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.187213,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.187214,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.187608,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.188138,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.196729,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.223061,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.223061,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.223881,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.224521,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:20:59.236936,,,,142.250.189.3,192.168.0.167,,,,443,34678,,,,,
2026-02-10T03:20:59.252328,,,,192.168.0.167,142.250.189.3,,,,34678,443,,,,,
2026-02-10T03:21:01.737248,,,,,,,,,,,,,,,
2026-02-10T03:21:03.719804,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:21:03.719931,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:21:04.146538,,,,,,,,,,,,,,,
2026-02-10T03:21:04.146556,,,,,,,,,,,,,,,
2026-02-10T03:21:04.364921,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:21:04.368892,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:21:12.746987,,,,,,,,,,,,,,,
2026-02-10T03:21:13.838255,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
2026-02-10T03:21:13.838325,,,,127.0.0.1,127.0.0.1,,,,45488,1194,,,,,
2026-02-10T03:21:19.366158,,,,192.168.0.167,172.217.2.138,,,,43520,443,,,,,
2026-02-10T03:21:19.383049,,,,172.217.2.138,192.168.0.167,,,,443,43520,,,,,
2026-02-10T03:21:20.911085,,,,10.8.0.1,239.255.255.250,,,,41068,1900,,,,,
2026-02-10T03:21:20.911106,,,,10.8.0.6,239.255.255.250,,,,54751,1900,,,,,
2026-02-10T03:21:20.911120,,,,192.168.0.167,239.255.255.250,,,,44481,1900,,,,,
2026-02-10T03:21:20.911770,,,,127.0.0.1,127.0.0.1,,,,1194,45488,,,,,
