timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T17:40:35.215247,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:40:35.962491,,,,,,,,,,,,,,,
2026-02-10T17:40:40.338700,,,,,,,,,,,,,,,
2026-02-10T17:40:40.341446,,,,,,,,,,,,,,,
2026-02-10T17:40:40.503635,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:40:40.508067,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:40:43.267159,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:40:43.267229,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:40:46.972552,,,,,,,,,,,,,,,
2026-02-10T17:40:53.471502,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:40:53.471576,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:40:55.504413,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:40:55.520921,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:40:56.467028,,,,192.168.0.167,192.178.56.133,35200,443,0x00000010,,,,,,,
2026-02-10T17:40:56.479695,,,,192.178.56.133,192.168.0.167,443,35200,0x00000010,,,,,,,
2026-02-10T17:40:57.982876,,,,,,,,,,,,,,,
2026-02-10T17:41:00.619782,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:00.624563,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:03.737925,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:03.738098,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:08.993736,,,,,,,,,,,,,,,
2026-02-10T17:41:09.139235,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:09.139255,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:09.139268,,,,192.168.0.167,239.255.255.250,,,,60770,1900,,,,,
2026-02-10T17:41:09.139936,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
