timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T15:10:22.338053,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:10:23.938238,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:10:23.942513,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:10:29.141697,,,,,,,,,,,,,,,
2026-02-10T15:10:32.442725,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:10:32.442798,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:10:38.940335,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:10:38.959100,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:10:40.151884,,,,,,,,,,,,,,,
2026-02-10T15:10:41.170523,,,,192.168.0.167,192.168.0.187,51056,2869,0x00000010,,,,,,,
2026-02-10T15:10:42.687381,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:10:42.687455,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:10:43.986935,,,,,,,,,,,,,,,
2026-02-10T15:10:43.989324,,,,,,,,,,,,,,,
2026-02-10T15:10:44.593544,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:10:44.597616,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:10:46.295149,,,,,,,,,,,,,,,
2026-02-10T15:10:47.314441,,,,,,,,,,,,,,,
2026-02-10T15:10:48.246263,,,,,,,,,,,,,,,
2026-02-10T15:10:48.248955,,,,,,,,,,,,,,,
2026-02-10T15:10:51.161598,,,,,,,,,,,,,,,
2026-02-10T15:10:52.746629,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:10:52.746704,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:10:59.595245,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:10:59.613477,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:11:02.171870,,,,,,,,,,,,,,,
2026-02-10T15:11:02.794775,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:11:02.794896,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:11:05.499446,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:11:05.504719,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:11:09.052459,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
